Time      	MABP      	CBFV-L    	CBFV-R    	etCO2     
0.00      	92.46     	64.35     	76.23     	5.75      
0.50      	92.17     	63.37     	74.94     	5.75      
1.00      	91.79     	62.12     	73.53     	5.75      
1.50      	90.77     	60.17     	71.63     	5.75      
2.00      	89.59     	58.06     	69.62     	5.75      
2.50      	89.51     	58.82     	69.70     	5.74      
3.00      	89.57     	59.94     	70.05     	5.72      
3.50      	89.53     	60.60     	70.93     	5.71      
4.00      	89.48     	61.28     	71.81     	5.70      
4.50      	89.13     	62.35     	72.48     	5.69      
5.00      	88.77     	63.28     	73.06     	5.68      
5.50      	88.14     	61.76     	72.00     	5.66      
6.00      	87.59     	60.38     	71.17     	5.65      
6.50      	87.62     	59.90     	71.80     	5.64      
7.00      	87.85     	60.17     	72.69     	5.63      
7.50      	88.60     	62.40     	74.26     	5.63      
8.00      	88.95     	63.79     	75.39     	5.63      
8.50      	88.58     	63.68     	75.76     	5.63      
9.00      	88.33     	63.51     	75.71     	5.63      
9.50      	88.33     	63.19     	74.75     	5.63      
10.00     	88.50     	63.03     	74.04     	5.63      
10.50     	89.01     	63.19     	73.81     	5.64      
11.00     	89.71     	63.84     	74.11     	5.64      
11.50     	90.60     	65.02     	74.97     	5.64      
12.00     	90.92     	65.35     	75.56     	5.65      
12.50     	90.72     	64.91     	75.92     	5.66      
13.00     	90.13     	64.22     	75.33     	5.66      
13.50     	89.16     	63.28     	73.77     	5.67      
14.00     	88.08     	61.97     	72.12     	5.67      
14.50     	86.88     	60.21     	70.37     	5.68      
15.00     	86.62     	59.85     	70.45     	5.68      
15.50     	87.15     	60.66     	72.07     	5.68      
16.00     	88.13     	62.27     	73.58     	5.67      
16.50     	89.34     	64.27     	75.03     	5.67      
17.00     	90.43     	65.28     	76.08     	5.66      
17.50     	91.48     	65.85     	76.96     	5.66      
18.00     	91.79     	65.28     	75.95     	5.65      
18.50     	91.74     	64.17     	74.05     	5.65      
19.00     	91.78     	63.55     	72.25     	5.64      
19.50     	91.85     	63.12     	70.49     	5.64      
20.00     	92.16     	63.46     	70.43     	5.64      
20.50     	92.52     	63.98     	70.79     	5.65      
21.00     	92.04     	63.92     	71.10     	5.66      
21.50     	91.38     	63.72     	71.39     	5.66      
22.00     	90.64     	63.26     	71.19     	5.67      
22.50     	89.88     	62.74     	70.88     	5.67      
23.00     	88.92     	61.79     	69.93     	5.68      
23.50     	87.91     	60.75     	68.84     	5.68      
24.00     	87.97     	61.26     	69.62     	5.69      
24.50     	88.11     	61.97     	70.57     	5.69      
25.00     	88.49     	63.70     	72.07     	5.69      
25.50     	88.91     	65.27     	73.52     	5.69      
26.00     	89.55     	66.08     	74.67     	5.69      
26.50     	90.05     	66.42     	75.48     	5.69      
27.00     	90.04     	65.10     	75.09     	5.69      
27.50     	89.82     	63.77     	74.35     	5.70      
28.00     	88.98     	62.47     	72.58     	5.70      
28.50     	88.55     	62.02     	72.00     	5.69      
29.00     	88.74     	62.91     	73.27     	5.68      
29.50     	88.72     	63.33     	73.90     	5.67      
30.00     	88.47     	63.26     	73.86     	5.65      
30.50     	88.02     	62.89     	73.72     	5.64      
31.00     	87.35     	62.19     	73.48     	5.63      
31.50     	86.60     	61.35     	72.54     	5.62      
32.00     	85.76     	60.33     	70.79     	5.60      
32.50     	85.25     	59.55     	70.23     	5.59      
33.00     	85.00     	58.96     	70.63     	5.59      
33.50     	85.45     	60.08     	71.84     	5.60      
34.00     	86.17     	61.87     	73.37     	5.61      
34.50     	86.66     	63.42     	74.70     	5.62      
35.00     	87.10     	64.92     	76.00     	5.63      
35.50     	87.43     	65.06     	75.78     	5.64      
36.00     	87.74     	65.07     	75.40     	5.65      
36.50     	87.84     	63.45     	72.94     	5.66      
37.00     	88.05     	62.15     	71.12     	5.67      
37.50     	88.64     	61.92     	71.34     	5.68      
38.00     	89.16     	62.07     	71.89     	5.67      
38.50     	89.59     	62.74     	72.86     	5.66      
39.00     	89.78     	62.67     	73.21     	5.64      
39.50     	89.74     	61.86     	72.94     	5.63      
40.00     	89.38     	61.06     	72.05     	5.61      
40.50     	88.74     	60.26     	70.64     	5.60      
41.00     	88.51     	59.95     	70.01     	5.59      
41.50     	88.53     	59.94     	69.85     	5.57      
42.00     	88.48     	60.36     	70.66     	5.56      
42.50     	88.42     	60.90     	71.75     	5.54      
43.00     	87.67     	60.76     	72.15     	5.53      
43.50     	86.76     	60.48     	72.41     	5.52      
44.00     	85.52     	59.56     	71.01     	5.50      
44.50     	84.21     	58.52     	69.27     	5.49      
45.00     	84.51     	59.77     	70.78     	5.48      
45.50     	84.89     	61.12     	72.46     	5.48      
46.00     	85.38     	62.23     	74.06     	5.48      
46.50     	85.80     	63.30     	75.46     	5.48      
47.00     	85.86     	64.09     	75.78     	5.48      
47.50     	85.86     	64.40     	75.76     	5.48      
48.00     	85.67     	63.36     	74.78     	5.49      
48.50     	85.94     	62.96     	74.45     	5.49      
49.00     	86.74     	63.30     	74.89     	5.50      
49.50     	87.10     	63.61     	75.32     	5.51      
50.00     	87.17     	63.89     	75.75     	5.52      
50.50     	86.94     	63.60     	75.43     	5.53      
51.00     	86.54     	62.99     	74.71     	5.54      
51.50     	86.15     	61.95     	72.88     	5.55      
52.00     	85.75     	60.75     	70.67     	5.56      
52.50     	86.69     	61.39     	71.61     	5.57      
53.00     	87.68     	62.19     	72.76     	5.58      
53.50     	87.95     	63.35     	73.34     	5.59      
54.00     	88.15     	64.34     	73.62     	5.59      
54.50     	87.97     	64.45     	72.38     	5.60      
55.00     	87.80     	64.21     	71.26     	5.61      
55.50     	87.65     	62.74     	70.58     	5.62      
56.00     	87.53     	61.36     	69.88     	5.62      
56.50     	87.50     	60.14     	69.13     	5.63      
57.00     	87.85     	60.23     	69.45     	5.63      
57.50     	88.51     	61.34     	70.63     	5.62      
58.00     	88.51     	61.67     	71.79     	5.60      
58.50     	88.21     	61.64     	72.94     	5.59      
59.00     	87.64     	60.47     	73.00     	5.57      
59.50     	86.96     	58.88     	72.64     	5.56      
60.00     	86.17     	57.56     	71.74     	5.54      
60.50     	85.34     	56.33     	70.64     	5.53      
61.00     	85.23     	57.47     	71.31     	5.53      
61.50     	85.30     	59.16     	72.41     	5.53      
62.00     	84.86     	59.50     	72.97     	5.54      
62.50     	84.23     	59.32     	73.32     	5.54      
63.00     	83.29     	58.71     	72.42     	5.55      
63.50     	82.19     	57.88     	70.89     	5.55      
64.00     	82.40     	58.79     	71.56     	5.55      
64.50     	83.10     	60.32     	73.03     	5.56      
65.00     	83.55     	61.51     	74.75     	5.56      
65.50     	83.93     	62.61     	76.52     	5.57      
66.00     	83.93     	62.86     	76.54     	5.57      
66.50     	83.80     	62.85     	76.01     	5.58      
67.00     	83.26     	61.91     	74.83     	5.58      
67.50     	82.59     	60.70     	73.45     	5.59      
68.00     	82.99     	61.48     	73.61     	5.58      
68.50     	83.53     	62.53     	73.97     	5.55      
69.00     	83.55     	62.33     	74.47     	5.53      
69.50     	83.52     	61.99     	74.97     	5.51      
70.00     	82.78     	60.72     	73.96     	5.49      
70.50     	81.96     	59.34     	72.79     	5.46      
71.00     	82.32     	59.00     	73.30     	5.44      
71.50     	82.73     	58.84     	73.95     	5.42      
72.00     	83.50     	60.02     	75.61     	5.39      
72.50     	84.16     	60.97     	77.03     	5.37      
73.00     	84.33     	60.71     	77.12     	5.34      
73.50     	84.40     	60.23     	76.96     	5.32      
74.00     	84.18     	59.05     	75.94     	5.29      
74.50     	84.54     	58.46     	75.46     	5.26      
75.00     	85.85     	58.88     	75.88     	5.25      
75.50     	86.74     	59.07     	76.21     	5.24      
76.00     	87.15     	59.00     	76.46     	5.24      
76.50     	87.20     	58.57     	75.90     	5.23      
77.00     	86.87     	57.74     	74.51     	5.22      
77.50     	87.61     	58.32     	74.29     	5.21      
78.00     	88.99     	59.75     	74.78     	5.21      
78.50     	90.68     	62.35     	75.72     	5.25      
79.00     	92.17     	64.94     	76.79     	5.30      
79.50     	92.26     	66.25     	78.23     	5.36      
80.00     	92.10     	66.53     	77.35     	5.41      
80.50     	91.55     	65.19     	75.90     	5.46      
81.00     	91.20     	64.08     	74.45     	5.51      
81.50     	91.05     	63.21     	73.00     	5.56      
82.00     	90.47     	62.17     	71.38     	5.61      
82.50     	89.64     	61.05     	69.53     	5.67      
83.00     	90.05     	60.95     	70.03     	5.69      
83.50     	90.71     	61.12     	71.05     	5.69      
84.00     	90.92     	62.02     	72.17     	5.69      
84.50     	90.98     	62.78     	73.15     	5.69      
85.00     	90.57     	63.12     	73.76     	5.69      
85.50     	90.16     	63.26     	73.99     	5.69      
86.00     	89.78     	62.98     	73.48     	5.68      
86.50     	89.16     	62.67     	72.39     	5.68      
87.00     	88.21     	62.32     	70.52     	5.68      
87.50     	88.15     	63.00     	70.15     	5.68      
88.00     	88.67     	64.35     	70.75     	5.67      
88.50     	88.39     	65.12     	71.45     	5.65      
89.00     	87.76     	65.64     	72.19     	5.64      
89.50     	86.97     	64.89     	71.77     	5.62      
90.00     	86.12     	63.56     	70.80     	5.60      
90.50     	85.24     	62.30     	70.22     	5.59      
